"general","specific","api_name_fk"
"mutex","undefined","mutex"
"optional","undefined","optional"
"ProjectSettings","undefined","../../../ProjectSettings"
"ProjectWindow","undefined","../../../ProjectWindow"
"ProjectWindows","undefined","../../../ProjectWindows"
"Audacity","h   ","../Audacity.h   // needed before FFmpeg.h // for USE_* macros"
"wx","wx","wx/tglbtn"
"blockfile","ODDecodeBlockFile","../blockfile/ODDecodeBlockFile.h // base class"
"ODDecodeFFmpegTask","undefined","ODDecodeFFmpegTask"
"AudacityException","undefined","AudacityException"
"Identifier","undefined","Identifier"
"wxArrayStringEx","undefined","wxArrayStringEx"
"eme","undefined","../../../eme"
"TrackPanelAx","undefined","../../../TrackPanelAx"
"functional","undefined","functional"
"TrackPanel","undefined","../../../TrackPanel"
"ODDecodeFlacTask","undefined","ODDecodeFlacTask"
"wx","wx","wx/toplevel"
"setjmp","undefined","setjmp"
"widgets","widgets","../../../widgets/AudacityTextEntryDialog"
"endian","undefined","endian"
"AppKit","undefined","AppKit/AppKit"
"wx","osx","wx/osx/core/private"
"wx","osx","wx/osx/cocoa/private"
"xldmem","undefined","xldmem"
"ControlButtons","Up","ControlButtons/Up.xpm"
"ControlButtons","Down","ControlButtons/Down.xpm"
"ControlButtons","Hilite","ControlButtons/Hilite.xpm"
"ODDecodeTask","undefined","ODDecodeTask"
"wx","wx","wx/weakref"
"blockfile","blockfile","../blockfile/ODDecodeBlockFile"
"ToolsButtons","DrawAlpha","ToolsButtons/DrawAlpha.xpm"
"LabelDialog","undefined","LabelDialog"
"ToolsButtons","Draw","ToolsButtons/Draw.xpm"
"LabelDialog","undefined","../../../LabelDialog"
"PlayableTrackButtonHandles","undefined","PlayableTrackButtonHandles"
"PlayableTrackControls","undefined","PlayableTrackControls"
"ODManager","undefined","ODManager"
"wx","wx","wx/grid"
"ODTask","undefined","ODTask"
"ODWaveTrackTaskQueue","undefined","ODWaveTrackTaskQueue"
"commands","commands","../../../commands/CommandManager"
"ToolsButtons","EnvelopeAlpha","ToolsButtons/EnvelopeAlpha.xpm"
"ToolsButtons","Envelope","ToolsButtons/Envelope.xpm"
"ToolsButtons","IBeamAlpha","ToolsButtons/IBeamAlpha.xpm"
"Track","undefined","../../../Track"
"LabelTrack","undefined","LabelTrack"
"ToolsButtons","IBeam","ToolsButtons/IBeam.xpm"
"TrackInfo","undefined","../../../TrackInfo"
"ToolsButtons","MultiAlpha","ToolsButtons/MultiAlpha.xpm"
"TrackUtilities","undefined","../../../TrackUtilities"
"ToolsButtons","Multi","ToolsButtons/Multi.xpm"
"tracks","labeltrack","tracks/labeltrack/ui/LabelTrackView"
"ToolsButtons","TimeShiftAlpha","ToolsButtons/TimeShiftAlpha.xpm"
"Profiler","undefined","../Profiler"
"widgets","widgets","widgets/Grid"
"ODTaskread","undefined","ODTaskread"
"ToolsButtons","TimeShift","ToolsButtons/TimeShift.xpm"
"limits","undefined","limits"
"ToolsButtons","ZoomAlpha","ToolsButtons/ZoomAlpha.xpm"
"ToolsButtons","Zoom","ToolsButtons/Zoom.xpm"
"tracks","ui","tracks/ui/TrackControls"
"macstuff","macstuff","macstuff.h */"
"vampostsdkostguard","undefined","vampostsdkostguard"
"limits","undefined","limits"
"float","undefined","float"
"ApplicationPrefs","undefined","ApplicationPrefs"
"wx","wx","wx/tokenzr"
"prefs","prefs","prefs/ImportExportPrefs"
"effects","effects","effects/TimeWarper"
"TimeTrackControls","undefined","TimeTrackControls"
"TranscriptionImages","StartOn","TranscriptionImages/StartOn.xpm"
"BatPrefs","undefined","BatPrefs"
"TimeTrack","undefined","../../../TimeTrack"
"ui","ui","../../ui/TrackView"
"TimeTrackVRulerControls","undefined","TimeTrackVRulerControls"
"DevicePrefs","undefined","DevicePrefs"
"Legacy","undefined","Legacy"
"RecordingPrefs","undefined","RecordingPrefs"
"string","undefined","string"
